Tenure,Salary,Department,JobSatisfaction,WorkLifeBalance,CommuteDistance,MaritalStatus,Education,PerformanceRating,TrainingHours,OverTime,NumProjects,YearsSincePromotion,ChurnLikelihood
10,73500,FM,4,4,Short,Single,Bachelor,3.333,18,1,2,2,Highly Likely
5,63500,CS,4,3,Medium,Single,Bachelor,2.667,12,1,3.62,0,Highly Likely
8,59000,CS,3,3.5,Medium,Single,Master,3.333,24,1,3,0,Highly Likely
4,72000,HR,4,3.5,Long,Single,Bachelor,2.667,24,1,2,0,Highly Likely
7,83000,MKT,3,3.5,Medium,Married,Master,3,36,1,4,1,Highly Likely
2,62500,Legal,3,4.5,Medium,Single,Bachelor,3,12,1,2,0,Highly Likely
10,73500,CS,3,4.5,Long,Divorced,Bachelor,3,24,1,2,4,Highly Likely
5,57000,CS,3,2.5,Short,Single,Bachelor,2,12,1,2,0,Highly Likely
6,65500,Legal,3,4,Short,Single,Bachelor,3.333,6,1,3,0,Highly Likely
6,56000,RD,3,4,Short,Married,Bachelor,3.667,30,1,3,0,Highly Likely
13,77000,RD,4,3.5,Long,Married,Bachelor,3,18,1,3.62,5,Highly Likely
5,57000,CS,4,3.5,Medium,Divorced,Bachelor,3.667,30,1,3,0,Highly Likely
10,73500,PR,3,4.5,Medium,Married,Bachelor,3,30,1,2,2,Highly Likely
2,57500,PM,4,3.5,Short,Married,Bachelor,3,12,1,2,0,Highly Likely
7,66500,MKT,5,4.5,Long,Married,Master,3.667,30,1,3,0,Highly Likely
5,70500,MKT,4,3.5,Medium,Divorced,Bachelor,3.667,36,1,3.62,0,Highly Likely
16,85000,MKT,2,4,Short,Married,Bachelor,3.333,36,1,3,9,Highly Likely
11,71000,CS,2,4,Long,Married,Bachelor,3.333,30,1,3,4,Highly Likely
3,63500,RD,4,4,Medium,Married,Bachelor,3.333,36,1,2,0,Highly Likely
6,62000,FM,2,3.453,Short,Divorced,Bachelor,3.334,24.32,1,3.62,0,Highly Likely
7,69000,ACC,3,3.5,Long,Single,Bachelor,2.333,12,1,3,0,Highly Likely
6,60500,MKT,4,4,Short,Divorced,Bachelor,3.333,12,1,3,0,Highly Likely
9,63500,PRO,4,3.5,Medium,Married,Master,3,30,1,3,0,Highly Likely
3,58000,RD,4,4,Medium,Married,High School,3,80,1,2,0,Highly Likely
9,69500,PM,3,4,Medium,Single,Bachelor,3.333,30,1,3,3,Highly Likely
5,60000,CS,5,4.5,Medium,Married,Bachelor,3.333,18,1,2,0,Highly Likely
12,89500,SL,3,4,Short,Divorced,Master,3.333,36,1,3,4,Highly Likely
13,83500,SL,3,3.5,Short,Divorced,Bachelor,3.333,36,0,3,0,Highly Likely
4,71000,RD,3,3.081,Medium,Single,Bachelor,2.853,30,1,3.24,0,Highly Likely
5,67500,PRO,4,3.5,Medium,Married,Bachelor,3,12,1,3,0,Highly Likely
13,70500,SL,4,3.5,Short,Married,High School,3.333,80,1,2,7,Highly Likely
10,80000,PR,2,3.5,Short,Married,Master,3,30,1,3.62,4,Highly Likely
5,69500,MKT,5,3.5,Long,Single,Bachelor,3,12,1,3,0,Highly Likely
